"Gene","ClinVar_VariationID","ClinVar_Accession","Query_Phenotype","Matched_Condition","Clinical_Significance","Search_Term","Source"
"AMACR","1432207","VCV001432207","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1433583","VCV001433583","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1436594","VCV001436594","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1438515","VCV001438515","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1438905","VCV001438905","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1444447","VCV001444447","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1446220","VCV001446220","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1448041","VCV001448041","migraine","AMACR-related condition | AMACR-Related Disorders | AMACR-related disorder | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1449810","VCV001449810","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1461797","VCV001461797","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1464550","VCV001464550","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1465607","VCV001465607","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1469027","VCV001469027","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1470318","VCV001470318","migraine","not provided | none provided | RECLASSIFIED - ADRA2C POLYMORPHISM | RECLASSIFIED - ADRB1 POLYMORPHISM | Inborn genetic diseases | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Not provided","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1481363","VCV001481363","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1482611","VCV001482611","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1484003","VCV001484003","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1485160","VCV001485160","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1489587","VCV001489587","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1493619","VCV001493619","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1498527","VCV001498527","migraine","Inborn genetic diseases | AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1499993","VCV001499993","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1500823","VCV001500823","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1501192","VCV001501192","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1502127","VCV001502127","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1502162","VCV001502162","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1502899","VCV001502899","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1510456","VCV001510456","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1511158","VCV001511158","migraine","Inborn genetic diseases | AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1512468","VCV001512468","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1516853","VCV001516853","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1519686","VCV001519686","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1521203","VCV001521203","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1524501","VCV001524501","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1528048","VCV001528048","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1528573","VCV001528573","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1529452","VCV001529452","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1530152","VCV001530152","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1546890","VCV001546890","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1549462","VCV001549462","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Likely benign","""migraine""","ClinVar_XML"
