"Gene","ClinVar_VariationID","ClinVar_Accession","Query_Phenotype","Matched_Condition","Clinical_Significance","Search_Term","Source"
"ACAA2","4796208","VCV004796208","cancer","not provided | none provided | Prenatal imaging test results suggest abnormal fetal brain development, consistent with holoprosencephaly.","Likely pathogenic","""cancer""","ClinVar_XML"
"ACADSB","4360895","VCV004360895","cancer","Deficiency of 2-methylbutyryl-CoA dehydrogenase | 2-methylbutyryl-CoA dehydrogenase deficiency | SBCAD deficiency | 2-methylbutyric aciduria | Short branched-chain acyl-CoA dehydrogenase deficiency | 2-methylbutyrylglycinuria | SBCADD | ACADSB","evidence_only","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ACADVL","4426373","VCV004426373","cancer","Very long chain acyl-CoA dehydrogenase deficiency | VLCAD Deficiency | ACADVLD | VLCAD","evidence_only","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ACD","4797673","VCV004797673","cancer","Dyskeratosis congenita, autosomal dominant 6 | DKCA6","Uncertain significance","""cancer""","ClinVar_XML"
"ACD","4798705","VCV004798705","cancer","Dyskeratosis congenita, autosomal dominant 6 | DKCA6","Likely benign","""cancer""","ClinVar_XML"
"ACD","4798819","VCV004798819","cancer","Dyskeratosis congenita, autosomal dominant 6 | DKCA6","Likely benign","""cancer""","ClinVar_XML"
"ACD","4804987","VCV004804987","cancer","Dyskeratosis congenita, autosomal dominant 6 | DKCA6","Uncertain significance","""cancer""","ClinVar_XML"
"ACD","4807730","VCV004807730","cancer","Dyskeratosis congenita, autosomal dominant 6 | DKCA6","Likely benign","""cancer""","ClinVar_XML"
"ACOT12","3391821","VCV003391821","cancer","not provided | none provided | RECLASSIFIED - ADRA2C POLYMORPHISM | RECLASSIFIED - ADRB1 POLYMORPHISM","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ACOXL","4796065","VCV004796065","cancer","not provided | none provided | Prenatal imaging test results suggest increased nuchal translucency 7.2mm","Uncertain significance","""cancer""","ClinVar_XML"
"ACOXL","4796140","VCV004796140","cancer","not provided | none provided | NIPT indicated ahigh risk for 2q13 duplication","Uncertain significance","""cancer""","ClinVar_XML"
"ACOXL","4796178","VCV004796178","cancer","not provided | none provided | Prenatal risk associated with advanced maternal age","Uncertain significance","""cancer""","ClinVar_XML"
"ACOXL-AS1","4796065","VCV004796065","cancer","not provided | none provided | Prenatal imaging test results suggest increased nuchal translucency 7.2mm","Uncertain significance","""cancer""","ClinVar_XML"
"ACOXL-AS1","4796140","VCV004796140","cancer","not provided | none provided | NIPT indicated ahigh risk for 2q13 duplication","Uncertain significance","""cancer""","ClinVar_XML"
"ACOXL-AS1","4796178","VCV004796178","cancer","not provided | none provided | Prenatal risk associated with advanced maternal age","Uncertain significance","""cancer""","ClinVar_XML"
"ACRBP","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ACRBP","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"ACSM4","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ACSM4","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"ADAMTS1","4796384","VCV004796384","cancer","not provided | none provided | Positive second-trimester serum screening","Pathogenic","""cancer""","ClinVar_XML"
"ADAMTS17","4796084","VCV004796084","cancer","not provided | none provided | Prenatal imaging test results suggest increased nuchal translucency","Likely pathogenic","""cancer""","ClinVar_XML"
"ADAMTS17","4796344","VCV004796344","cancer","not provided | none provided | Prenatal imaging test results suggest mild ventriculomegaly","Uncertain significance","""cancer""","ClinVar_XML"
"ADAMTS20","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ADAMTS5","4796384","VCV004796384","cancer","not provided | none provided | Positive second-trimester serum screening","Pathogenic","""cancer""","ClinVar_XML"
"ADAP2","4813346","VCV004813346","cancer","Imagawa-Matsumoto syndrome | IMMAS | Neurofibromatosis, type 1 | NEUROFIBROMATOSIS, TYPE I, SOMATIC | Peripheral type neurofibromatosis | VON RECKLINGHAUSEN DISEASE | Neurofibromatosis, type I | NF1 | Severe ID | autism | Motor delay | Hypertrichosis | 2-3 toe syndactyly | Bulbous nose | Large ears | Left ptosis | Self-injury","Likely pathogenic","""cancer""","ClinVar_XML"
"ADCK5","3384214","VCV003384214","cancer","CHROMOSOME 8q22.1-qter DUPLICATION AND 8pter-p23.1 DELETION | REC8 SYNDROME | SAN LUIS VALLEY SYNDROME | Recombinant 8 syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ADCY6","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ADCY6-DT","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ADCYAP1","4796302","VCV004796302","cancer","not provided | none provided | Prenatal imaging test results suggest bilateral talipes equinovarus","Likely pathogenic","""cancer""","ClinVar_XML"
"ADGRB1","3384214","VCV003384214","cancer","CHROMOSOME 8q22.1-qter DUPLICATION AND 8pter-p23.1 DELETION | REC8 SYNDROME | SAN LUIS VALLEY SYNDROME | Recombinant 8 syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ADGRG1","4413361","VCV004413361","cancer","not provided | none provided","evidence_only","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ADGRV1","3391821","VCV003391821","cancer","not provided | none provided | RECLASSIFIED - ADRA2C POLYMORPHISM | RECLASSIFIED - ADRB1 POLYMORPHISM","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ADGRV1","3775074","VCV003775074","cancer","Microduplication syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ADIPOR2","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ADIPOR2","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"ADNP2","4796208","VCV004796208","cancer","not provided | none provided | Prenatal imaging test results suggest abnormal fetal brain development, consistent with holoprosencephaly.","Likely pathogenic","""cancer""","ClinVar_XML"
"ADORA2A","4796040","VCV004796040","cancer","not provided | none provided | Prenatal imaging test results suggest ventricular septal defect","Uncertain significance","""cancer""","ClinVar_XML"
"ADORA2A","4796087","VCV004796087","cancer","not provided | none provided | Prenatal imaging test results suggest mild ventriculomegaly,pyelectasis","Uncertain significance","""cancer""","ClinVar_XML"
"ADORA2A","4796188","VCV004796188","cancer","not provided | none provided | Prenatal risk associated with advanced maternal age","Uncertain significance","""cancer""","ClinVar_XML"
"ADORA2A-AS1","4796040","VCV004796040","cancer","not provided | none provided | Prenatal imaging test results suggest ventricular septal defect","Uncertain significance","""cancer""","ClinVar_XML"
"ADORA2A-AS1","4796087","VCV004796087","cancer","not provided | none provided | Prenatal imaging test results suggest mild ventriculomegaly,pyelectasis","Uncertain significance","""cancer""","ClinVar_XML"
"ADORA2A-AS1","4796188","VCV004796188","cancer","not provided | none provided | Prenatal risk associated with advanced maternal age","Uncertain significance","""cancer""","ClinVar_XML"
"ADSS2","4755339","VCV004755339","cancer","See cases | Coarctation of aorta | prenatal growth restriction | anorectal malformation | left eye abnormality","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AEBP2","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AEBP2","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"AFF2","3573463","VCV003573463","cancer","Fragile XE syndrome | FRAXE Syndrome | FRAXE | FRAXE intellectual disability | Intellectual developmental disorder, X-linked 109 | Intellectual disability, X-linked, FRAXE type","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AFF2","4796070","VCV004796070","cancer","not provided | none provided | Prenatal imaging test results suggest spina bifida,hydrocephalus","Pathogenic","""cancer""","ClinVar_XML"
"AFG3L2","4796302","VCV004796302","cancer","not provided | none provided | Prenatal imaging test results suggest bilateral talipes equinovarus","Likely pathogenic","""cancer""","ClinVar_XML"
"AGPAT3","4796384","VCV004796384","cancer","not provided | none provided | Positive second-trimester serum screening","Pathogenic","""cancer""","ClinVar_XML"
"AHCTF1","4755339","VCV004755339","cancer","See cases | Coarctation of aorta | prenatal growth restriction | anorectal malformation | left eye abnormality","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AICDA","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AICDA","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"AIFM1","4683014","VCV004683014","cancer","not provided | none provided","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AIP","3623910","VCV003623910","cancer","Hereditary neoplastic syndrome | Hereditary Cancer Syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | not provided | none provided","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AIP","3846652","VCV003846652","cancer","Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AIP","4029838","VCV004029838","cancer","Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AIP","4259885","VCV004259885","cancer","Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AIP","4656454","VCV004656454","cancer","Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AIRE","4796384","VCV004796384","cancer","not provided | none provided | Positive second-trimester serum screening","Pathogenic","""cancer""","ClinVar_XML"
"AKAIN1","4796302","VCV004796302","cancer","not provided | none provided | Prenatal imaging test results suggest bilateral talipes equinovarus","Likely pathogenic","""cancer""","ClinVar_XML"
"AKAP3","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AKAP3","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"AKT3","4755339","VCV004755339","cancer","See cases | Coarctation of aorta | prenatal growth restriction | anorectal malformation | left eye abnormality","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AKT3-IT1","4755339","VCV004755339","cancer","See cases | Coarctation of aorta | prenatal growth restriction | anorectal malformation | left eye abnormality","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ALAS2","4542488","VCV004542488","cancer","not provided | none provided | Not provided","Conflicting classifications of pathogenicity","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ALDH1A3","4796084","VCV004796084","cancer","not provided | none provided | Prenatal imaging test results suggest increased nuchal translucency","Likely pathogenic","""cancer""","ClinVar_XML"
"ALDH1A3","4796344","VCV004796344","cancer","not provided | none provided | Prenatal imaging test results suggest mild ventriculomegaly","Uncertain significance","""cancer""","ClinVar_XML"
"ALDH1A3-AS1","4796084","VCV004796084","cancer","not provided | none provided | Prenatal imaging test results suggest increased nuchal translucency","Likely pathogenic","""cancer""","ClinVar_XML"
"ALDH1A3-AS1","4796344","VCV004796344","cancer","not provided | none provided | Prenatal imaging test results suggest mild ventriculomegaly","Uncertain significance","""cancer""","ClinVar_XML"
"ALDOA","3697760","VCV003697760","cancer","GLYCOGEN STORAGE DISEASE XII | GSD XII | RED CELL ALDOLASE DEFICIENCY | HNSHA due to aldolase A deficiency | Glycogen storage disease due to aldolase A deficiency | GSD12","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ALG10","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ALG10","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"ALG10B","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ALPK2","4796208","VCV004796208","cancer","not provided | none provided | Prenatal imaging test results suggest abnormal fetal brain development, consistent with holoprosencephaly.","Likely pathogenic","""cancer""","ClinVar_XML"
"ALPK2-AS1","4796208","VCV004796208","cancer","not provided | none provided | Prenatal imaging test results suggest abnormal fetal brain development, consistent with holoprosencephaly.","Likely pathogenic","""cancer""","ClinVar_XML"
"AMER1","3900525","VCV003900525","cancer","none provided | not provided | Wilms' tumor | Wilms tumor | Nephroblastoma | Not Provided | Kidney Wilms tumor","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AMFR","3362782","VCV003362782","cancer","Spastic paraplegia 89, autosomal recessive | SPG89","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"AMIGO2","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AMN1","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AMN1","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"AMN1-AS1","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"AMN1-AS1","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"AMPD2","3384023","VCV003384023","cancer","Spastic paraplegia 63, autosomal recessive | Hereditary spastic paraplegia 63 | SPG63","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ANAPC1","4796065","VCV004796065","cancer","not provided | none provided | Prenatal imaging test results suggest increased nuchal translucency 7.2mm","Uncertain significance","""cancer""","ClinVar_XML"
"ANAPC1","4796140","VCV004796140","cancer","not provided | none provided | NIPT indicated ahigh risk for 2q13 duplication","Uncertain significance","""cancer""","ClinVar_XML"
"ANAPC1","4796178","VCV004796178","cancer","not provided | none provided | Prenatal risk associated with advanced maternal age","Uncertain significance","""cancer""","ClinVar_XML"
"ANKRD12","4796302","VCV004796302","cancer","not provided | none provided | Prenatal imaging test results suggest bilateral talipes equinovarus","Likely pathogenic","""cancer""","ClinVar_XML"
"ANKRD29","4796208","VCV004796208","cancer","not provided | none provided | Prenatal imaging test results suggest abnormal fetal brain development, consistent with holoprosencephaly.","Likely pathogenic","""cancer""","ClinVar_XML"
"ANKRD30B","4796302","VCV004796302","cancer","not provided | none provided | Prenatal imaging test results suggest bilateral talipes equinovarus","Likely pathogenic","""cancer""","ClinVar_XML"
"ANKRD62","4796302","VCV004796302","cancer","not provided | none provided | Prenatal imaging test results suggest bilateral talipes equinovarus","Likely pathogenic","""cancer""","ClinVar_XML"
"ANO2","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ANO2","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"ANO6","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ANP32D","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"APBA2","4796503","VCV004796503","cancer","Syndromic microphthalmia | Syndromic microphthalmia-anophthalmia-coloboma","Uncertain significance","""cancer""","ClinVar_XML"
"APC","3382320","VCV003382320","cancer","FIBROMATOSIS, FAMILIAL INFILTRATIVE | Desmoid disease, hereditary | FIF | DESMD | FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | POLYPOSIS, ADENOMATOUS INTESTINAL | Familial adenomatous polyposis 1 | FAP1 | POLYPOSIS, GASTRIC | Polyposis, gastric, Dos Santos and de Magalhaes 1980 | Gastric adenocarcinoma and proximal polyposis of the stomach | GAPPS | POLYPOSIS OF GASTRIC FUNDUS WITHOUT POLYPOSIS COLI | Hepatocellular carcinoma | Primary carcinoma of liver | HEPATOMA | LIVER CELL CARCINOMA | HCC | LCC | Colorectal cancer, somatic | Colorectal cancer | Malignant Colorectal Neoplasm | CRC | Malignant tumor of stomach | Stomach cancer | Gastric cancer","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3382797","VCV003382797","cancer","FIBROMATOSIS, FAMILIAL INFILTRATIVE | Desmoid disease, hereditary | FIF | DESMD | FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | POLYPOSIS, ADENOMATOUS INTESTINAL | Familial adenomatous polyposis 1 | FAP1 | POLYPOSIS, GASTRIC | Polyposis, gastric, Dos Santos and de Magalhaes 1980 | Gastric adenocarcinoma and proximal polyposis of the stomach | GAPPS | POLYPOSIS OF GASTRIC FUNDUS WITHOUT POLYPOSIS COLI | Hepatocellular carcinoma | Primary carcinoma of liver | HEPATOMA | LIVER CELL CARCINOMA | HCC | LCC | Colorectal cancer, somatic | Colorectal cancer | Malignant Colorectal Neoplasm | CRC | Malignant tumor of stomach | Stomach cancer | Gastric cancer","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3391323","VCV003391323","cancer","FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | POLYPOSIS, ADENOMATOUS INTESTINAL | Familial adenomatous polyposis 1 | FAP1","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3408200","VCV003408200","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3408463","VCV003408463","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3409333","VCV003409333","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3409665","VCV003409665","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3409674","VCV003409674","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3410311","VCV003410311","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3410870","VCV003410870","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3411448","VCV003411448","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3412418","VCV003412418","cancer","Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3602623","VCV003602623","cancer","FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | POLYPOSIS, ADENOMATOUS INTESTINAL | Familial adenomatous polyposis 1 | FAP1","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3648419","VCV003648419","cancer","FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | POLYPOSIS, ADENOMATOUS INTESTINAL | Familial adenomatous polyposis 1 | FAP1 | Hereditary Cancer Syndrome | Hereditary neoplastic syndrome | Tumor predisposition | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome","Pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3658063","VCV003658063","cancer","FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | Familial adenomatous polyposis 1 | POLYPOSIS, ADENOMATOUS INTESTINAL | FAP1 | none provided | not provided","Pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3767251","VCV003767251","cancer","FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED | Familial adenomatous polyposis 1 | POLYPOSIS, ADENOMATOUS INTESTINAL | FAP1","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3774438","VCV003774438","cancer","Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Neoplastic Syndromes, Hereditary | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3775433","VCV003775433","cancer","Malignant tumor of stomach | Stomach cancer | Gastric cancer","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3881062","VCV003881062","cancer","Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome | Neoplastic Syndromes, Hereditary","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3881072","VCV003881072","cancer","Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome | Neoplastic Syndromes, Hereditary","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3881131","VCV003881131","cancer","not provided | none provided | Neoplastic Syndromes, Hereditary | Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3881143","VCV003881143","cancer","Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome | Neoplastic Syndromes, Hereditary","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3881969","VCV003881969","cancer","Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome | Neoplastic Syndromes, Hereditary","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"APC","3882279","VCV003882279","cancer","Hereditary cancer-predisposing syndrome | Tumor predisposition | Hereditary neoplastic syndrome | Hereditary Cancer Syndrome | Neoplastic Syndromes, Hereditary","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
