"PMID","Gene","Entrez_ID","Evidence_Text","Source","Title","Journal","Year"
"10818516","Notch3","4854","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) often begins with migraine with aura. Recurrent strokes usually appear between 30 and 50 years of age. The arteriopathy develops slowly, resulting in destruction of smooth muscle cells and thickening and fibrosis of the walls of small and medium-sized penetrating arteries with consequent narrowing of the lumen. This impairs cerebral blood flow, visible in PET, and produces characteristic white-ma","PubTator3","CADASIL: hereditary arteriopathy leading to multiple brain infarcts and dementia.","Annals of the New York Academy of Sciences","2000"
"10818516","amyloid precursor protein","351","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) often begins with migraine with aura. Recurrent strokes usually appear between 30 and 50 years of age. The arteriopathy develops slowly, resulting in destruction of smooth muscle cells and thickening and fibrosis of the walls of small and medium-sized penetrating arteries with consequent narrowing of the lumen. This impairs cerebral blood flow, visible in PET, and produces characteristic white-ma","PubTator3","CADASIL: hereditary arteriopathy leading to multiple brain infarcts and dementia.","Annals of the New York Academy of Sciences","2000"
"11085595","dopamine beta-hydroxylase","1621","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","PubTator3","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","Neurogenetics","2000"
"11085595","DBH","1621","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","PubTator3","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","Neurogenetics","2000"
"11085595","CACNA1A","773","Migraine is a debilitating neurological disorder characterized by recurrent attacks of severe headache. The disorder is highly prevalent, affecting approximately 12% of Caucasian populations. It is well known that migraine has a strong genetic component, although the type and number of genes involved is not yet clear. However, the calcium channel gene, CACNA1A, on chromosome 19 contains mutations responsible for familial hemiplegic migraine, a rare and severe subtype of migraine. There is also e","PubTator3","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","Neurogenetics","2000"
"11085595","serotonin transporter","6532","Migraine is a debilitating neurological disorder characterized by recurrent attacks of severe headache. The disorder is highly prevalent, affecting approximately 12% of Caucasian populations. It is well known that migraine has a strong genetic component, although the type and number of genes involved is not yet clear. However, the calcium channel gene, CACNA1A, on chromosome 19 contains mutations responsible for familial hemiplegic migraine, a rare and severe subtype of migraine. There is also e","PubTator3","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","Neurogenetics","2000"
"11085595","DRD2","1813","Migraine is a debilitating neurological disorder characterized by recurrent attacks of severe headache. The disorder is highly prevalent, affecting approximately 12% of Caucasian populations. It is well known that migraine has a strong genetic component, although the type and number of genes involved is not yet clear. However, the calcium channel gene, CACNA1A, on chromosome 19 contains mutations responsible for familial hemiplegic migraine, a rare and severe subtype of migraine. There is also e","PubTator3","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","Neurogenetics","2000"
"11320173","CACNA1A","773","Involvement of the CACNA1A gene containing region on 19p13 in migraine with and without aura.","PubTator3","Involvement of the CACNA1A gene containing region on 19p13 in migraine with and without aura.","Neurology","2001"
"11412868","serotonin transporter","6532","Significance of serotonin transporter gene polymorphism in migraine.","PubTator3","Significance of serotonin transporter gene polymorphism in migraine.","Journal of the neurological sciences","2001"
"11412868","5-HTTLPR","6532","OBJECTIVE: To elucidate significance of the serotonin transporter gene (STG) polymorphism in migraine, and to address the polymorphic patterns of STG, both in the migraineurs and healthy people in this country. STUDY DESIGN: A PCR study of STG in 52 migraineurs and 80 healthy controls. METHODS: Using the PCR technique, STG polymorphism was studied in the DNA obtained from leukocytes of the patients and healthy controls. Polymorphism of the two regions (VNTR and 5-HTTLPR) of STG was assessed. RES","PubTator3","Significance of serotonin transporter gene polymorphism in migraine.","Journal of the neurological sciences","2001"
"11424980","inducible nitric oxide synthase","4843","No evidence for involvement of the human inducible nitric oxide synthase (iNOS) gene in susceptibility to typical migraine.","PubTator3","No evidence for involvement of the human inducible nitric oxide synthase (iNOS) gene in susceptibility to typical migraine.","American journal of medical genetics","2001"
"11424980","iNOS","4843","No evidence for involvement of the human inducible nitric oxide synthase (iNOS) gene in susceptibility to typical migraine.","PubTator3","No evidence for involvement of the human inducible nitric oxide synthase (iNOS) gene in susceptibility to typical migraine.","American journal of medical genetics","2001"
"11424980","NO synthase","4843","Migraine is a debilitating disorder affecting approximately 12% of Caucasian populations. The disease has a large genetic component, although at present the type and number of genes involved is unclear. Candidate gene studies may be useful strategies for identifying genes involved in complex diseases such as migraine, especially if the gene being examined contributes only a minor effect to the overall phenotype. Nitric oxide (NO) is emerging as a key molecule affecting the pain associated with m","PubTator3","No evidence for involvement of the human inducible nitric oxide synthase (iNOS) gene in susceptibility to typical migraine.","American journal of medical genetics","2001"
"11735220","insulin receptor","3643","Single-nucleotide polymorphism alleles in the insulin receptor gene are associated with typical migraine.","PubTator3","Single-nucleotide polymorphism alleles in the insulin receptor gene are associated with typical migraine.","Genomics","2001"
"11737010","factor XIII","2162","Role of factor XIII Val 34 Leu polymorphism in patients with migraine.","PubTator3","Role of factor XIII Val 34 Leu polymorphism in patients with migraine.","Cephalalgia : an international journal of headache","2001"
"11755252","Apolipoprotein E","348","Apolipoprotein E gene polymorphisms in patients with migraine.","PubTator3","Apolipoprotein E gene polymorphisms in patients with migraine.","Neuroscience letters","2002"
"11755252","apolipoprotein E","348","To investigate the role of apolipoprotein E (APOE) polymorphisms in migraine, we analyzed the APOE genotypes of 241 migraine patients and 587 controls. The results of a Chi-square analysis indicated that APOE alleles were similarly distributed (chi(2)=2.89, P=0.24) between cases and controls. However, we found a significant (P<0.001) increase of the varepsilon2-varepsilon4 genotype in the group of migraine patients. Patients were divided into three subgroups: migraine with aura; migraine without","PubTator3","Apolipoprotein E gene polymorphisms in patients with migraine.","Neuroscience letters","2002"
"11755252","APOE","348","To investigate the role of apolipoprotein E (APOE) polymorphisms in migraine, we analyzed the APOE genotypes of 241 migraine patients and 587 controls. The results of a Chi-square analysis indicated that APOE alleles were similarly distributed (chi(2)=2.89, P=0.24) between cases and controls. However, we found a significant (P<0.001) increase of the varepsilon2-varepsilon4 genotype in the group of migraine patients. Patients were divided into three subgroups: migraine with aura; migraine without","PubTator3","Apolipoprotein E gene polymorphisms in patients with migraine.","Neuroscience letters","2002"
"11803518","CACNA1A","773","Investigation of the CACNA1A gene as a candidate for typical migraine susceptibility.","PubTator3","Investigation of the CACNA1A gene as a candidate for typical migraine susceptibility.","American journal of medical genetics","2001"
"11803518","CACNA1A.","773","Typical migraine is a complex neurological disorder comprised of two main subtypes: migraine with (MA) and without aura (MO). The disease etiology is still unclear, but family studies provide strong evidence that defective genes play an important role. Familial hemiplegic migraine (FHM) is a very rare and severe subtype of MA. It has been proposed that FHM and MA may have a similar genetic etiology. Therefore, genetic studies on FHM provide a useful model for investigating the more prevalent typ","PubTator3","Investigation of the CACNA1A gene as a candidate for typical migraine susceptibility.","American journal of medical genetics","2001"
"11843867","CACNA1A","773","No involvement of the calcium channel gene (CACNA1A) in a family with cluster headache.","PubTator3","No involvement of the calcium channel gene (CACNA1A) in a family with cluster headache.","Cephalalgia : an international journal of headache","2001"
"11890456","CACNA1F","778","Several inherited human neurological disorders can be caused by mutations in genes encoding Ca2+ channel subunits. This review deals with known human and mouse calcium channelopathies of the central nervous system (CNS). The human diseases comprise: 1) a recessive retinal disorder, X-linked congenital stationary night blindness, associated with mutations in the CACNA1F gene, encoding alpha(1)1.4 subunits of L-type channels; and 2) a group of rare allelic autosomal dominant human neurological dis","PubTator3","Calcium channels and channelopathies of the central nervous system.","Molecular neurobiology","2002"
"11890456","CACNA1A","773","Several inherited human neurological disorders can be caused by mutations in genes encoding Ca2+ channel subunits. This review deals with known human and mouse calcium channelopathies of the central nervous system (CNS). The human diseases comprise: 1) a recessive retinal disorder, X-linked congenital stationary night blindness, associated with mutations in the CACNA1F gene, encoding alpha(1)1.4 subunits of L-type channels; and 2) a group of rare allelic autosomal dominant human neurological dis","PubTator3","Calcium channels and channelopathies of the central nervous system.","Molecular neurobiology","2002"
"11890456","CACNA1A","12286","Several inherited human neurological disorders can be caused by mutations in genes encoding Ca2+ channel subunits. This review deals with known human and mouse calcium channelopathies of the central nervous system (CNS). The human diseases comprise: 1) a recessive retinal disorder, X-linked congenital stationary night blindness, associated with mutations in the CACNA1F gene, encoding alpha(1)1.4 subunits of L-type channels; and 2) a group of rare allelic autosomal dominant human neurological dis","PubTator3","Calcium channels and channelopathies of the central nervous system.","Molecular neurobiology","2002"
"11890456","calcium channel auxiliary beta subunit","NA","Several inherited human neurological disorders can be caused by mutations in genes encoding Ca2+ channel subunits. This review deals with known human and mouse calcium channelopathies of the central nervous system (CNS). The human diseases comprise: 1) a recessive retinal disorder, X-linked congenital stationary night blindness, associated with mutations in the CACNA1F gene, encoding alpha(1)1.4 subunits of L-type channels; and 2) a group of rare allelic autosomal dominant human neurological dis","PubTator3","Calcium channels and channelopathies of the central nervous system.","Molecular neurobiology","2002"
"12047333","Tumor necrosis factor","7124","Tumor necrosis factor gene polymorphism in migraine.","PubTator3","Tumor necrosis factor gene polymorphism in migraine.","Headache","2002"
"12047333","tumor necrosis factor (TNF)","7124","OBJECTIVE: To better define the involvement of human leukocyte antigen region (HLA) genes in migraine via an association study of the tumor necrosis factor (TNF) genes, located in the HLA class III region, with migraine with and without aura. BACKGROUND: Migraine without aura and migraine with aura are disorders involving multiple factors-environmental and genetic. In a previous study, we hypothesized a protective role for the HLA-DR2 antigen, providing additional basis for the proposed genetic ","PubTator3","Tumor necrosis factor gene polymorphism in migraine.","Headache","2002"
"12047333","TNF","7124","OBJECTIVE: To better define the involvement of human leukocyte antigen region (HLA) genes in migraine via an association study of the tumor necrosis factor (TNF) genes, located in the HLA class III region, with migraine with and without aura. BACKGROUND: Migraine without aura and migraine with aura are disorders involving multiple factors-environmental and genetic. In a previous study, we hypothesized a protective role for the HLA-DR2 antigen, providing additional basis for the proposed genetic ","PubTator3","Tumor necrosis factor gene polymorphism in migraine.","Headache","2002"
"12047333","Tumor necrosis factor (TNF)","7124","OBJECTIVE: To better define the involvement of human leukocyte antigen region (HLA) genes in migraine via an association study of the tumor necrosis factor (TNF) genes, located in the HLA class III region, with migraine with and without aura. BACKGROUND: Migraine without aura and migraine with aura are disorders involving multiple factors-environmental and genetic. In a previous study, we hypothesized a protective role for the HLA-DR2 antigen, providing additional basis for the proposed genetic ","PubTator3","Tumor necrosis factor gene polymorphism in migraine.","Headache","2002"
"12047333","lymphotoxin alpha","4049","OBJECTIVE: To better define the involvement of human leukocyte antigen region (HLA) genes in migraine via an association study of the tumor necrosis factor (TNF) genes, located in the HLA class III region, with migraine with and without aura. BACKGROUND: Migraine without aura and migraine with aura are disorders involving multiple factors-environmental and genetic. In a previous study, we hypothesized a protective role for the HLA-DR2 antigen, providing additional basis for the proposed genetic ","PubTator3","Tumor necrosis factor gene polymorphism in migraine.","Headache","2002"
"12056940","CACNA1A","773","BACKGROUND: Familial hemiplegic migraine is a rare autosomal dominant subtype of migraine with aura that in half of the families is caused by mutations in the CACNA1A gene on chromosome 19p13. In sporadic hemiplegic migraine (SHM), that is, hemiplegic migraine without affected family members, the contribution of the CACNA1A gene is unknown. OBJECTIVE: To investigate the involvement of the CACNA1A calcium channel subunit gene in SHM. METHODS: We screened 27 patients with SHM for mutations in the ","PubTator3","Mutation analysis of the CACNA1A calcium channel subunit gene in 27 patients with sporadic hemiplegic migraine.","Archives of neurology","2002"
"12111613","CACNA1A","773","Is the CACNA1A gene involved in familial migraine with aura?","PubTator3","Is the CACNA1A gene involved in familial migraine with aura?","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2002"
"12119109","ATP1A4","480","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","PubTator3","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","Gene","2002"
"12119109","ATP1A2","477","Four isoforms of the catalytic alpha subunit of the Na,K-ATPase have been previously identified. We characterized and mapped a genomic copy of the human ATP1A4 isoform between D1S2707 and WI-9524, telomeric to a nearby isoform ATP1A2, and within a candidate region at 1q23 for familial hemiplegic migraine (FHM). Human ATP1A4 gene shares 84% identity with the mouse Atp1a4 gene, and both consist of 22 exons and 21 introns. The predicted polypeptide is 1029 amino acids and shares 82 and 79.8% identi","PubTator3","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","Gene","2002"
"12119109","Atp1a4","27222","Four isoforms of the catalytic alpha subunit of the Na,K-ATPase have been previously identified. We characterized and mapped a genomic copy of the human ATP1A4 isoform between D1S2707 and WI-9524, telomeric to a nearby isoform ATP1A2, and within a candidate region at 1q23 for familial hemiplegic migraine (FHM). Human ATP1A4 gene shares 84% identity with the mouse Atp1a4 gene, and both consist of 22 exons and 21 introns. The predicted polypeptide is 1029 amino acids and shares 82 and 79.8% identi","PubTator3","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","Gene","2002"
"12119109","ATP1A1","476","Four isoforms of the catalytic alpha subunit of the Na,K-ATPase have been previously identified. We characterized and mapped a genomic copy of the human ATP1A4 isoform between D1S2707 and WI-9524, telomeric to a nearby isoform ATP1A2, and within a candidate region at 1q23 for familial hemiplegic migraine (FHM). Human ATP1A4 gene shares 84% identity with the mouse Atp1a4 gene, and both consist of 22 exons and 21 introns. The predicted polypeptide is 1029 amino acids and shares 82 and 79.8% identi","PubTator3","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","Gene","2002"
"12119109","Atp1a4","480","Four isoforms of the catalytic alpha subunit of the Na,K-ATPase have been previously identified. We characterized and mapped a genomic copy of the human ATP1A4 isoform between D1S2707 and WI-9524, telomeric to a nearby isoform ATP1A2, and within a candidate region at 1q23 for familial hemiplegic migraine (FHM). Human ATP1A4 gene shares 84% identity with the mouse Atp1a4 gene, and both consist of 22 exons and 21 introns. The predicted polypeptide is 1029 amino acids and shares 82 and 79.8% identi","PubTator3","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","Gene","2002"
"12525718","HERNS","11277","BACKGROUND: The main hereditary vascular conditions involving both retinal and cerebral vessels include cerebroretinal vasculopathy, HERNS (hereditary endotheliopathy with retinopathy, nephropathy, and stroke), and hereditary vascular retinopathy; all are linked to the same locus on chromosome 3p21. Hereditary retinal arteriolar tortuosity is a distinct, autosomal dominant condition characterized by retinal arteriolar tortuosity and recurrent retinal hemorrhages. This condition is known to affec","PubTator3","Hereditary infantile hemiparesis, retinal arteriolar tortuosity, and leukoencephalopathy.","Neurology","2003"
"12707077","CACNA1A","773","Phenotypes of spinocerebellar ataxia type 6 and familial hemiplegic migraine caused by a unique CACNA1A missense mutation in patients from a large family.","PubTator3","Phenotypes of spinocerebellar ataxia type 6 and familial hemiplegic migraine caused by a unique CACNA1A missense mutation in patients from a large family.","Archives of neurology","2003"
"12736537","Glutathione S-transferase","373156","Glutathione S-transferase polymorphisms: susceptibility to migraine without aura.","PubTator3","Glutathione S-transferase polymorphisms: susceptibility to migraine without aura.","European neurology","2003"
"12736537","glutathione S-transferase (GST) P1","2950","Migraine is considered to be a polygenic multifactorial disease with various environmental and genetic etiologies. We investigated glutathione S-transferase (GST) P1 Ile(105)Val, T1 and M1 polymorphisms in 174 Japanese headache sufferers and 372 Japanese controls. The headache group consisted of 38 cases of migraine with aura, 95 migraine without aura (MWOA) and 41 tension-type headache sufferers. The M1 homozygous deletion genotype was significantly higher in MWOA (64%) compared with controls (","PubTator3","Glutathione S-transferase polymorphisms: susceptibility to migraine without aura.","European neurology","2003"
"12736537","GSTM1","2944","Migraine is considered to be a polygenic multifactorial disease with various environmental and genetic etiologies. We investigated glutathione S-transferase (GST) P1 Ile(105)Val, T1 and M1 polymorphisms in 174 Japanese headache sufferers and 372 Japanese controls. The headache group consisted of 38 cases of migraine with aura, 95 migraine without aura (MWOA) and 41 tension-type headache sufferers. The M1 homozygous deletion genotype was significantly higher in MWOA (64%) compared with controls (","PubTator3","Glutathione S-transferase polymorphisms: susceptibility to migraine without aura.","European neurology","2003"
"12756131","CACNA1A","773","Expanding the phenotypic spectrum of the CACNA1A gene T666M mutation: a description of 5 families with familial hemiplegic migraine.","PubTator3","Expanding the phenotypic spectrum of the CACNA1A gene T666M mutation: a description of 5 families with familial hemiplegic migraine.","Archives of neurology","2003"
"12763173","prothrombin","2147","[Heterozygous prothrombin gene mutation G20210A and associated diseases].","PubTator3","[Heterozygous prothrombin gene mutation G20210A and associated diseases].","La Revue de medecine interne","2003"
"12763173","Prothrombin","2147","PURPOSE: Prothrombin gene mutation G20210A (factor II) is, in frequency, the second genetic polymorphism involved in venous thrombosis. We report a retrospective studies on 38 patients issued from our medical department, all heterozygous for the factor II mutation and a literature review. METHODS: We have studied 38 patients, all heterozygous for the factor II mutation, selected through a population of 516 tested patients issued from our medical department from 1997 to 2002. The research was per","PubTator3","[Heterozygous prothrombin gene mutation G20210A and associated diseases].","La Revue de medecine interne","2003"
"12763173","thrombin","2147","PURPOSE: Prothrombin gene mutation G20210A (factor II) is, in frequency, the second genetic polymorphism involved in venous thrombosis. We report a retrospective studies on 38 patients issued from our medical department, all heterozygous for the factor II mutation and a literature review. METHODS: We have studied 38 patients, all heterozygous for the factor II mutation, selected through a population of 516 tested patients issued from our medical department from 1997 to 2002. The research was per","PubTator3","[Heterozygous prothrombin gene mutation G20210A and associated diseases].","La Revue de medecine interne","2003"
"12811615","CACNA1A","773","The person-to-person variability of drug response is a major problem in clinical practice and in drug development. It can lead to therapeutic failure or adverse drug reactions (ADRs) in individuals or subpopulation of patients. In addition to the high occurence of ADRs and the associated morbidity and mortality, substantial costs are incurred. Potential risk factors for drug inefficacy or toxicity include drug-drug interactions, the patient's age, renal and liver functions or other disease facto","PubTator3","Pharmacogenomics: state of the research and perspectives in clinical application.","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2003"
"12811615","DRD2","1813","The person-to-person variability of drug response is a major problem in clinical practice and in drug development. It can lead to therapeutic failure or adverse drug reactions (ADRs) in individuals or subpopulation of patients. In addition to the high occurence of ADRs and the associated morbidity and mortality, substantial costs are incurred. Potential risk factors for drug inefficacy or toxicity include drug-drug interactions, the patient's age, renal and liver functions or other disease facto","PubTator3","Pharmacogenomics: state of the research and perspectives in clinical application.","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2003"
"12849426","CACNA1A","773","The search for genes involved in the pathophysiology of migraine poses major difficulties. First, there is no objective diagnostic method to assess the status of the individuals studied. Second, migraine is a polygenic multifactorial disorder. Familial hemiplegic migraine (FHM) is the only known autosomal dominant subtype of migraine. In half the families with FHM who have been studied, there are mutations in the calcium-channel gene CACNA1A, located on chromosome 19. In other families, a locus ","PubTator3","The genetics of migraine.","The Lancet. Neurology","2002"
"12873747","LDLR","3949","Investigation of an LDLR gene polymorphism (19p13.2) in susceptibility to migraine without aura.","PubTator3","Investigation of an LDLR gene polymorphism (19p13.2) in susceptibility to migraine without aura.","Journal of the neurological sciences","2003"
"12873747","LDL receptor","3949","We performed a genetic association study with the LDL receptor gene (LDLR) on chromosome 19p13.2 in 360 migraine patients, 220 with migraine without aura (MO) and 140 with migraine with aura (MA), and 200 controls, by analysing two polymorphic markers, a G142A transition in exon 10 and a triallelic (TA)n repeat in exon 18. The allelic distribution of the (TA)n polymorphism was significantly different between migraine without aura (MO) and both controls and migraine with aura (MA). We suggest a p","PubTator3","Investigation of an LDLR gene polymorphism (19p13.2) in susceptibility to migraine without aura.","Journal of the neurological sciences","2003"
"12915447","CACNA1A","773","Migraine with aura (MA) is a prevalent neurological condition with strong evidence for a genetic basis. Familial hemiplegic migraine, a rare Mendelian form of MA, can be caused by mutations in the calcium channel gene, CACNA1A or in the ATP1A2 gene, a Na+/K+ pump. Susceptibility genes for the more prevalent forms of migraine have yet to be identified despite several reports of linkage including loci on 4q24, 1q31, 19p13 and Xq24-28. We have undertaken a genome-wide screen of 43 Canadian families","PubTator3","Significant linkage to migraine with aura on chromosome 11q24.","Human molecular genetics","2003"
"12915447","ATP1A2","477","Migraine with aura (MA) is a prevalent neurological condition with strong evidence for a genetic basis. Familial hemiplegic migraine, a rare Mendelian form of MA, can be caused by mutations in the calcium channel gene, CACNA1A or in the ATP1A2 gene, a Na+/K+ pump. Susceptibility genes for the more prevalent forms of migraine have yet to be identified despite several reports of linkage including loci on 4q24, 1q31, 19p13 and Xq24-28. We have undertaken a genome-wide screen of 43 Canadian families","PubTator3","Significant linkage to migraine with aura on chromosome 11q24.","Human molecular genetics","2003"
"12915447","GRIK4","2900","Migraine with aura (MA) is a prevalent neurological condition with strong evidence for a genetic basis. Familial hemiplegic migraine, a rare Mendelian form of MA, can be caused by mutations in the calcium channel gene, CACNA1A or in the ATP1A2 gene, a Na+/K+ pump. Susceptibility genes for the more prevalent forms of migraine have yet to be identified despite several reports of linkage including loci on 4q24, 1q31, 19p13 and Xq24-28. We have undertaken a genome-wide screen of 43 Canadian families","PubTator3","Significant linkage to migraine with aura on chromosome 11q24.","Human molecular genetics","2003"
"12915447","KCNJ5","3762","Migraine with aura (MA) is a prevalent neurological condition with strong evidence for a genetic basis. Familial hemiplegic migraine, a rare Mendelian form of MA, can be caused by mutations in the calcium channel gene, CACNA1A or in the ATP1A2 gene, a Na+/K+ pump. Susceptibility genes for the more prevalent forms of migraine have yet to be identified despite several reports of linkage including loci on 4q24, 1q31, 19p13 and Xq24-28. We have undertaken a genome-wide screen of 43 Canadian families","PubTator3","Significant linkage to migraine with aura on chromosome 11q24.","Human molecular genetics","2003"
"12915447","KCNJ1","3758","Migraine with aura (MA) is a prevalent neurological condition with strong evidence for a genetic basis. Familial hemiplegic migraine, a rare Mendelian form of MA, can be caused by mutations in the calcium channel gene, CACNA1A or in the ATP1A2 gene, a Na+/K+ pump. Susceptibility genes for the more prevalent forms of migraine have yet to be identified despite several reports of linkage including loci on 4q24, 1q31, 19p13 and Xq24-28. We have undertaken a genome-wide screen of 43 Canadian families","PubTator3","Significant linkage to migraine with aura on chromosome 11q24.","Human molecular genetics","2003"
"14513409","MGR1","192115","Migraine is a common form of headache and has a significant genetic component. Here, we report linkage results from a study in Iceland of migraine without aura (MO). The study group comprised patients with migraine recruited by neurologists and from the registry of the Icelandic Migraine Society, as well as through the use of a questionnaire sent to a random sample of 20,000 Icelanders. Migraine diagnoses were made and confirmed using diagnostic criteria established by the International Headache","PubTator3","Localization of a gene for migraine without aura to chromosome 4q21.","American journal of human genetics","2003"
"14526175","CACNA1A","773","Spinocerebellar ataxia type 6 (SCA6) is one of three allelic disorders caused by mutations of CACNA1A gene, coding for the pore-forming subunit of calcium channel type P/Q. SCA6 is associated with small expansions of a CAG repeat at the 3' end of the gene, while point mutations are responsible for its two allelic disorders (Episodic Ataxia type 2 and Familial Hemiplegic Migraine). Genetic, clinical, pathological and pathophysiological data of SCA6 patients are reviewed and compared to those of o","PubTator3","Spinocerebellar ataxia type 6 and episodic ataxia type 2: differences and similarities between two allelic disorders.","Cytogenetic and genome research","2003"
"14624354","ATP1A2","477","The field of migraine genetics has seen an explosion of information over the last year. In a recent breakthrough, missense mutations in a chromosome 1q23 gene, ATP1A2, encoding a Na+, K+-ATPase, have been identified in four distinct pedigrees with a rare form of familial hemiplegic migraine (FHM). ATP1A2 is expressed in the brain, like the voltage gated calcium channel gene, CACNA1A, previously identified as the first hemiplegic migraine gene (FHM1). The shared hemiplegic migraine phenotype of m","PubTator3","Update on the genetics of migraine.","Human genetics","2004"
"14624354","CACNA1A","773","The field of migraine genetics has seen an explosion of information over the last year. In a recent breakthrough, missense mutations in a chromosome 1q23 gene, ATP1A2, encoding a Na+, K+-ATPase, have been identified in four distinct pedigrees with a rare form of familial hemiplegic migraine (FHM). ATP1A2 is expressed in the brain, like the voltage gated calcium channel gene, CACNA1A, previously identified as the first hemiplegic migraine gene (FHM1). The shared hemiplegic migraine phenotype of m","PubTator3","Update on the genetics of migraine.","Human genetics","2004"
