Gene,Frequency,Databases,Coverage_Percentage
LINC01252,3,"gtex, gtex_prioritized, gwasrapidd",33.33333333333333
TAMM41,3,"gtex, gtex_prioritized, omim",33.33333333333333
EFHB,3,"gtex, gtex_prioritized, gwasrapidd",33.33333333333333
HLA-DQA2,3,"gtex, gtex_prioritized, opentargets",33.33333333333333
MIF,3,"gtex, gtex_prioritized, opentargets",33.33333333333333
INTS1,3,"gtex, gtex_prioritized, opentargets",33.33333333333333
TGFB2,3,"omim, opentargets, pubmed",33.33333333333333
HTR2A,3,"omim, opentargets, pubmed",33.33333333333333
INSR,3,"omim, opentargets, pubmed",33.33333333333333
NOS3,3,"omim, opentargets, pubmed",33.33333333333333
ERAP2,3,"gtex, gtex_prioritized, pubmed",33.33333333333333
MTRF1L,3,"gtex, gtex_prioritized, gwasrapidd",33.33333333333333
MAPK8IP1P2,3,"gtex, gtex_prioritized, gwasrapidd",33.33333333333333
LRRC37A4P,3,"gtex, gtex_prioritized, gwasrapidd",33.33333333333333
HLA-DQB1,3,"gtex, gtex_prioritized, hpo",33.33333333333333
PEX6,3,"gtex, gtex_prioritized, omim",33.33333333333333
SFXN4,3,"gtex, gtex_prioritized, omim",33.33333333333333
PNKD,3,"omim, opentargets, pubmed",33.33333333333333
PNKP,3,"omim, opentargets, pubmed",33.33333333333333
SLC16A1,3,"omim, opentargets, pubmed",33.33333333333333
SNAP25,3,"omim, opentargets, pubmed",33.33333333333333
STX10,3,"clinvar, gwasrapidd, opentargets",33.33333333333333
RBM6,3,"clinvar, gtex, gtex_prioritized",33.33333333333333
RRM2B,3,"clinvar, hpo, omim",33.33333333333333
SKI,3,"clinvar, gwasrapidd, opentargets",33.33333333333333
TPH2,3,"omim, opentargets, pubmed",33.33333333333333
CALR,3,"clinvar, hpo, opentargets",33.33333333333333
CELSR3,3,"clinvar, opentargets, pubmed",33.33333333333333
HBQ1,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
GRM7,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
KCNE2,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
LATS1,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
L3MBTL2,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
ITPK1,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
KIAA0040,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
KCND3,3,"gwasrapidd, omim, opentargets",33.33333333333333
KCNK5,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
ITGB5,3,"gwasrapidd, opentargets, pubmed",33.33333333333333
EAAT1,2,"pubmed, uniprot",22.22222222222222
COL3A1,2,"clinvar, hpo",22.22222222222222
KCNH8,2,"gwasrapidd, opentargets",22.22222222222222
KCNK16,2,"gwasrapidd, opentargets",22.22222222222222
KCNK17,2,"gwasrapidd, opentargets",22.22222222222222
JMJD1C,2,"gwasrapidd, opentargets",22.22222222222222
JPH3,2,"gwasrapidd, opentargets",22.22222222222222
KIF27,2,"gwasrapidd, opentargets",22.22222222222222
NEK4,2,"opentargets, pubmed",22.22222222222222
GNB1,2,"opentargets, uniprot",22.22222222222222
BRPF3,2,"opentargets, pubmed",22.22222222222222
GNB3,2,"opentargets, pubmed",22.22222222222222
ARHGAP25,2,"opentargets, pubmed",22.22222222222222
CXCL11,2,"opentargets, pubmed",22.22222222222222
GADD45A,2,"opentargets, pubmed",22.22222222222222
DAG1,2,"clinvar, opentargets",22.22222222222222
GABRR3,2,"opentargets, pubmed",22.22222222222222
GABRR2,2,"opentargets, pubmed",22.22222222222222
NMU,2,"opentargets, pubmed",22.22222222222222
PFDN1,2,"opentargets, pubmed",22.22222222222222
CCL25,2,"opentargets, pubmed",22.22222222222222
DRD1,2,"opentargets, pubmed",22.22222222222222
OXR1,2,"opentargets, pubmed",22.22222222222222
ARHGAP28,2,"opentargets, pubmed",22.22222222222222
GPR149,2,"gwasrapidd, opentargets",22.22222222222222
GPR26,2,"gwasrapidd, opentargets",22.22222222222222
GNRH1,2,"gwasrapidd, opentargets",22.22222222222222
GPATCH2,2,"gwasrapidd, opentargets",22.22222222222222
GPATCH2L,2,"gwasrapidd, opentargets",22.22222222222222
GPD1L,2,"gwasrapidd, opentargets",22.22222222222222
LRCH1,2,"gwasrapidd, opentargets",22.22222222222222
ZMIZ1,2,"opentargets, pubmed",22.22222222222222
MAPKAPK2,2,"gwasrapidd, opentargets",22.22222222222222
MALAT1,2,"gwasrapidd, opentargets",22.22222222222222
MAP2K5,2,"gwasrapidd, opentargets",22.22222222222222
GJA1,2,"gwasrapidd, opentargets",22.22222222222222
GLP1R,2,"gwasrapidd, opentargets",22.22222222222222
GATAD2A,2,"gwasrapidd, opentargets",22.22222222222222
GBA2,2,"gwasrapidd, opentargets",22.22222222222222
GFAP,2,"gwasrapidd, opentargets",22.22222222222222
XPR1,2,"omim, opentargets",22.22222222222222
GRIA3,2,"opentargets, pubmed",22.22222222222222
SCN9A,2,"opentargets, pubmed",22.22222222222222
GRIA2,2,"opentargets, pubmed",22.22222222222222
GRIA4,2,"opentargets, pubmed",22.22222222222222
ADRA2B,2,"opentargets, pubmed",22.22222222222222
GABRE,2,"opentargets, pubmed",22.22222222222222
SH2B3,2,"clinvar, hpo",22.22222222222222
TOR1A,2,"omim, opentargets",22.22222222222222
GABRQ,2,"opentargets, pubmed",22.22222222222222
GABRA3,2,"opentargets, pubmed",22.22222222222222
TRPV1,2,"opentargets, pubmed",22.22222222222222
HTR1B,2,"opentargets, pubmed",22.22222222222222
FAAH,2,"opentargets, pubmed",22.22222222222222
GRIA1,2,"opentargets, pubmed",22.22222222222222
WWOX,2,"omim, opentargets",22.22222222222222
BSN,2,"clinvar, pubmed",22.22222222222222
PMM2,2,"clinvar, opentargets",22.22222222222222
TYMP,2,"omim, opentargets",22.22222222222222
TRPC3,2,"omim, opentargets",22.22222222222222
TTR,2,"omim, opentargets",22.22222222222222
TUBB4A,2,"omim, opentargets",22.22222222222222
TIMELESS,2,"omim, opentargets",22.22222222222222
TMEM151A,2,"omim, opentargets",22.22222222222222
GBP2,2,"opentargets, pubmed",22.22222222222222
NELFCD,2,"opentargets, pubmed",22.22222222222222
KCNB2,2,"opentargets, pubmed",22.22222222222222
CYP1A2,2,"opentargets, pubmed",22.22222222222222
HLA-DQA1,2,"opentargets, pubmed",22.22222222222222
BRD3,2,"opentargets, pubmed",22.22222222222222
CLCN1,2,"clinvar, opentargets",22.22222222222222
CAPN3,2,"clinvar, opentargets",22.22222222222222
HCN2,2,"omim, opentargets",22.22222222222222
GRIN2D,2,"omim, opentargets",22.22222222222222
GRM1,2,"omim, opentargets",22.22222222222222
GUCY1A1,2,"omim, opentargets",22.22222222222222
SLC35E2B,2,"gtex, gtex_prioritized",22.22222222222222
MGR1,2,"omim, pubmed",22.22222222222222
MDH1,2,"omim, opentargets",22.22222222222222
LIG3,2,"omim, uniprot",22.22222222222222
SPTAN1,2,"omim, opentargets",22.22222222222222
STUB1,2,"omim, opentargets",22.22222222222222
STXBP1,2,"omim, opentargets",22.22222222222222
SLC25A22,2,"omim, opentargets",22.22222222222222
TAB2,2,"clinvar, opentargets",22.22222222222222
TBC1D24,2,"clinvar, omim",22.22222222222222
SPOP,2,"clinvar, hpo",22.22222222222222
SLC38A3,2,"clinvar, omim",22.22222222222222
SLC1A2,2,"omim, opentargets",22.22222222222222
SCN2A,2,"omim, opentargets",22.22222222222222
SCN3A,2,"omim, opentargets",22.22222222222222
SCN8A,2,"omim, opentargets",22.22222222222222
RHOBTB2,2,"omim, opentargets",22.22222222222222
PPP2R2B,2,"omim, opentargets",22.22222222222222
SLC6A5,2,"clinvar, opentargets",22.22222222222222
SV2A,2,"omim, opentargets",22.22222222222222
SHISA5,2,"clinvar, gwasrapidd",22.22222222222222
PRKCG,2,"omim, opentargets",22.22222222222222
PIGP,2,"omim, opentargets",22.22222222222222
PLCB1,2,"omim, opentargets",22.22222222222222
PDYN,2,"omim, opentargets",22.22222222222222
PER2,2,"omim, opentargets",22.22222222222222
PER3,2,"omim, opentargets",22.22222222222222
SLC12A5,2,"omim, opentargets",22.22222222222222
RP11-190A12.8,2,"gtex, gtex_prioritized",22.22222222222222
CMB9-55F22.1,2,"gtex, gtex_prioritized",22.22222222222222
AP000350.5,2,"gtex, gtex_prioritized",22.22222222222222
PSPHP1,2,"gtex, gtex_prioritized",22.22222222222222
MAN2C1,2,"gtex, gtex_prioritized",22.22222222222222
RP11-526I2.5,2,"gtex, gtex_prioritized",22.22222222222222
FLYWCH1,2,"gtex, gtex_prioritized",22.22222222222222
PSMD5-AS1,2,"gtex, gtex_prioritized",22.22222222222222
UCN,2,"clinvar, opentargets",22.22222222222222
USP26,2,"clinvar, opentargets",22.22222222222222
TNXB,2,"clinvar, gwasrapidd",22.22222222222222
XRRA1,2,"gtex, gtex_prioritized",22.22222222222222
GABPB1-AS1,2,"gtex, gtex_prioritized",22.22222222222222
LINC01291,2,"gtex, gtex_prioritized",22.22222222222222
CPSF1,2,"gtex, gtex_prioritized",22.22222222222222
CCDC163,2,"gtex, gtex_prioritized",22.22222222222222
NSDHL,2,"omim, pubmed",22.22222222222222
NFKB1,2,"omim, opentargets",22.22222222222222
ND5,2,"omim, pubmed",22.22222222222222
MME,2,"omim, opentargets",22.22222222222222
DDX11,2,"gtex, gtex_prioritized",22.22222222222222
ZNF266,2,"gtex, gtex_prioritized",22.22222222222222
WDR45,2,"clinvar, opentargets",22.22222222222222
YJU2B,2,"clinvar, gwasrapidd",22.22222222222222
KCNMA1,2,"omim, opentargets",22.22222222222222
KCNN2,2,"omim, opentargets",22.22222222222222
KCNQ2,2,"omim, opentargets",22.22222222222222
KCNA2,2,"omim, opentargets",22.22222222222222
KCNB1,2,"omim, opentargets",22.22222222222222
TRMT1,2,"clinvar, opentargets",22.22222222222222
NTRK2,2,"omim, opentargets",22.22222222222222
NOS2,2,"omim, opentargets",22.22222222222222
RP4-756H11.3,2,"gtex, gtex_prioritized",22.22222222222222
AF011889.2,2,"gtex, gtex_prioritized",22.22222222222222
AC093838.4,2,"gtex, gtex_prioritized",22.22222222222222
RP11-104N10.2,2,"gtex, gtex_prioritized",22.22222222222222
LLPH-AS1,2,"gtex, gtex_prioritized",22.22222222222222
SNHG5,2,"gtex, gtex_prioritized",22.22222222222222
NSA2,2,"gtex, gtex_prioritized",22.22222222222222
RP5-1021I20.1,2,"gtex, gtex_prioritized",22.22222222222222
ARL16,2,"gtex, gtex_prioritized",22.22222222222222
AC005154.6,2,"gtex, gtex_prioritized",22.22222222222222
GLIPR1L2,2,"gtex, gtex_prioritized",22.22222222222222
SLC25A41,2,"gtex, gtex_prioritized",22.22222222222222
RP11-298I3.6,2,"gtex, gtex_prioritized",22.22222222222222
CYP4F24P,2,"gtex, gtex_prioritized",22.22222222222222
RP11-996F15.2,2,"gtex, gtex_prioritized",22.22222222222222
GBP3,2,"gtex, gtex_prioritized",22.22222222222222
AC068282.3,2,"gtex, gtex_prioritized",22.22222222222222
RP11-22B23.1,2,"gtex, gtex_prioritized",22.22222222222222
HLA-DRB5,2,"gtex, gtex_prioritized",22.22222222222222
TOP3BP1,2,"gtex, gtex_prioritized",22.22222222222222
CHURC1,2,"gtex, gtex_prioritized",22.22222222222222
C2orf74,2,"gtex, gtex_prioritized",22.22222222222222
DDX11L2,2,"gtex, gtex_prioritized",22.22222222222222
ITGB3BP,2,"gtex, gtex_prioritized",22.22222222222222
KANSL1-AS1,2,"gtex, gtex_prioritized",22.22222222222222
MIF-AS1,2,"gtex, gtex_prioritized",22.22222222222222
RP11-259G18.3,2,"gtex, gtex_prioritized",22.22222222222222
RHD,2,"gtex, gtex_prioritized",22.22222222222222
PPIE,2,"gtex, gtex_prioritized",22.22222222222222
AC091729.9,2,"gtex, gtex_prioritized",22.22222222222222
FAM118A,2,"gtex, gtex_prioritized",22.22222222222222
C21orf33,2,"gtex, gtex_prioritized",22.22222222222222
AC034243.1,2,"gtex, gtex_prioritized",22.22222222222222
CCDC18-AS1,2,"gtex, gtex_prioritized",22.22222222222222
MAPK8IP1P1,2,"gtex, gtex_prioritized",22.22222222222222
FLVCR1-AS1,2,"gtex, gtex_prioritized",22.22222222222222
CCDC82,2,"gtex, gtex_prioritized",22.22222222222222
GTF2A1L,2,"gtex, gtex_prioritized",22.22222222222222
XKR9,2,"gtex, gtex_prioritized",22.22222222222222
NMRK1,2,"gtex, gtex_prioritized",22.22222222222222
KCTD21-AS1,2,"gtex, gtex_prioritized",22.22222222222222
PILRA,2,"gtex, gtex_prioritized",22.22222222222222
ZNF100,2,"gtex, gtex_prioritized",22.22222222222222
