Gene,Phenotype,Analysis_Date
ABLIM2,migraine,2026-04-09 21:32:48
ABO,migraine,2026-04-09 21:32:48
AC005154.6,migraine,2026-04-09 21:32:48
AC005336.4,migraine,2026-04-09 21:32:48
AC006042.6,migraine,2026-04-09 21:32:48
AC006960.7,migraine,2026-04-09 21:32:48
AC007009.1,migraine,2026-04-09 21:32:48
AC007966.1,migraine,2026-04-09 21:32:48
AC021218.2,migraine,2026-04-09 21:32:48
AC034243.1,migraine,2026-04-09 21:32:48
AC068282.3,migraine,2026-04-09 21:32:48
AC091729.9,migraine,2026-04-09 21:32:48
AC093838.4,migraine,2026-04-09 21:32:48
AC104135.2,migraine,2026-04-09 21:32:48
AC125232.1,migraine,2026-04-09 21:32:48
AC159540.1,migraine,2026-04-09 21:32:48
ACACA,migraine,2026-04-09 21:32:48
ACADS,migraine,2026-04-09 21:32:48
ACADSB,migraine,2026-04-09 21:32:48
ACADVL,migraine,2026-04-09 21:32:48
ACBD4,migraine,2026-04-09 21:32:48
ACCS,migraine,2026-04-09 21:32:48
ACD,migraine,2026-04-09 21:32:48
ACE,migraine,2026-04-09 21:32:48
ACE2,migraine,2026-04-09 21:32:48
ACHE,migraine,2026-04-09 21:32:48
ACID,migraine,2026-04-09 21:32:48
ACKR3,migraine,2026-04-09 21:32:48
ACKR5,migraine,2026-04-09 21:32:48
ACLY,migraine,2026-04-09 21:32:48
ACO2,migraine,2026-04-09 21:32:48
ACOT12,migraine,2026-04-09 21:32:48
ACOX2,migraine,2026-04-09 21:32:48
ACP2,migraine,2026-04-09 21:32:48
ACP6,migraine,2026-04-09 21:32:48
ACSBG1,migraine,2026-04-09 21:32:48
ACSF3,migraine,2026-04-09 21:32:48
ACSL1,migraine,2026-04-09 21:32:48
ACSL5,migraine,2026-04-09 21:32:48
ACTA2,migraine,2026-04-09 21:32:48
ACTB,migraine,2026-04-09 21:32:48
ACTBP8,migraine,2026-04-09 21:32:48
ACTBP9,migraine,2026-04-09 21:32:48
ACTH,migraine,2026-04-09 21:32:48
ACTIVITY,migraine,2026-04-09 21:32:48
ACTL6B,migraine,2026-04-09 21:32:48
ACTN1,migraine,2026-04-09 21:32:48
ACTN1-DT,migraine,2026-04-09 21:32:48
ACTN3,migraine,2026-04-09 21:32:48
ACTN3-AS1,migraine,2026-04-09 21:32:48
ACTN4,migraine,2026-04-09 21:32:48
ACTR10,migraine,2026-04-09 21:32:48
ACTR3BP4,migraine,2026-04-09 21:32:48
ACTRT2,migraine,2026-04-09 21:32:48
ACVR2A,migraine,2026-04-09 21:32:48
ACVRL1,migraine,2026-04-09 21:32:48
ADA,migraine,2026-04-09 21:32:48
ADA2,migraine,2026-04-09 21:32:48
ADAM22,migraine,2026-04-09 21:32:48
ADAM28,migraine,2026-04-09 21:32:48
ADAM7-AS1,migraine,2026-04-09 21:32:48
ADAM8,migraine,2026-04-09 21:32:48
ADAMTS3,migraine,2026-04-09 21:32:48
ADAMTS5,migraine,2026-04-09 21:32:48
ADAMTS9,migraine,2026-04-09 21:32:48
ADAMTS9-AS2,migraine,2026-04-09 21:32:48
ADAMTSL1,migraine,2026-04-09 21:32:48
ADAMTSL4,migraine,2026-04-09 21:32:48
ADAMTSL4-AS1,migraine,2026-04-09 21:32:48
ADAMTSL4-AS2,migraine,2026-04-09 21:32:48
ADARB1,migraine,2026-04-09 21:32:48
ADARB2,migraine,2026-04-09 21:32:48
ADARB2-AS1,migraine,2026-04-09 21:32:48
ADCY1,migraine,2026-04-09 21:32:48
ADCY2,migraine,2026-04-09 21:32:48
ADCYAP1,migraine,2026-04-09 21:32:48
ADCYAP1R1,migraine,2026-04-09 21:32:48
ADD1,migraine,2026-04-09 21:32:48
ADGRB3,migraine,2026-04-09 21:32:48
ADGRB3-DT,migraine,2026-04-09 21:32:48
ADGRF5,migraine,2026-04-09 21:32:48
ADGRF5P1,migraine,2026-04-09 21:32:48
ADGRG1,migraine,2026-04-09 21:32:48
ADGRG7,migraine,2026-04-09 21:32:48
ADGRL1,migraine,2026-04-09 21:32:48
ADGRL1-AS1,migraine,2026-04-09 21:32:48
ADGRL2,migraine,2026-04-09 21:32:48
ADGRL3,migraine,2026-04-09 21:32:48
ADH,migraine,2026-04-09 21:32:48
ADH 1B,migraine,2026-04-09 21:32:48
ADH1B,migraine,2026-04-09 21:32:48
ADH1C,migraine,2026-04-09 21:32:48
ADH2,migraine,2026-04-09 21:32:48
ADH3,migraine,2026-04-09 21:32:48
ADH4,migraine,2026-04-09 21:32:48
ADH5,migraine,2026-04-09 21:32:48
ADI1P1,migraine,2026-04-09 21:32:48
ADI1P2,migraine,2026-04-09 21:32:48
ADI1P3,migraine,2026-04-09 21:32:48
ADIPOQ,migraine,2026-04-09 21:32:48
ADK,migraine,2026-04-09 21:32:48
ADLDWA,migraine,2026-04-09 21:32:48
ADM,migraine,2026-04-09 21:32:48
ADM-DT,migraine,2026-04-09 21:32:48
ADM2,migraine,2026-04-09 21:32:48
ADNP2,migraine,2026-04-09 21:32:48
ADORA1,migraine,2026-04-09 21:32:48
ADORA2A,migraine,2026-04-09 21:32:48
ADORA2B,migraine,2026-04-09 21:32:48
ADORA3,migraine,2026-04-09 21:32:48
ADRA1A,migraine,2026-04-09 21:32:48
ADRA1B,migraine,2026-04-09 21:32:48
ADRA1D,migraine,2026-04-09 21:32:48
ADRA2A,migraine,2026-04-09 21:32:48
ADRA2B,migraine,2026-04-09 21:32:48
ADRA2C,migraine,2026-04-09 21:32:48
ADRB1,migraine,2026-04-09 21:32:48
ADRB2,migraine,2026-04-09 21:32:48
ADRB3,migraine,2026-04-09 21:32:48
ADTRP,migraine,2026-04-09 21:32:48
ADULT,migraine,2026-04-09 21:32:48
ADULT-ONSET,migraine,2026-04-09 21:32:48
ADVANCED,migraine,2026-04-09 21:32:48
AF001548.5,migraine,2026-04-09 21:32:48
AF011889.2,migraine,2026-04-09 21:32:48
AFAP1,migraine,2026-04-09 21:32:48
AFAP1-AS1,migraine,2026-04-09 21:32:48
AFF2,migraine,2026-04-09 21:32:48
AFFECTIVE,migraine,2026-04-09 21:32:48
AFFINITY,migraine,2026-04-09 21:32:48
AFG3L2,migraine,2026-04-09 21:32:48
AFP,migraine,2026-04-09 21:32:48
AGA,migraine,2026-04-09 21:32:48
AGAP14,migraine,2026-04-09 21:32:48
AGAP4,migraine,2026-04-09 21:32:48
AGAP9,migraine,2026-04-09 21:32:48
AGBL1,migraine,2026-04-09 21:32:48
AGER,migraine,2026-04-09 21:32:48
AGK,migraine,2026-04-09 21:32:48
AGO2,migraine,2026-04-09 21:32:48
AGPAT1,migraine,2026-04-09 21:32:48
AGPS,migraine,2026-04-09 21:32:48
AGRN,migraine,2026-04-09 21:32:48
AGT,migraine,2026-04-09 21:32:48
AGTR1,migraine,2026-04-09 21:32:48
AGXT2,migraine,2026-04-09 21:32:48
AHC1,migraine,2026-04-09 21:32:48
AHC2,migraine,2026-04-09 21:32:48
AHNAK2,migraine,2026-04-09 21:32:48
AHR,migraine,2026-04-09 21:32:48
AHSA1,migraine,2026-04-09 21:32:48
AHSA2,migraine,2026-04-09 21:32:48
AHSG,migraine,2026-04-09 21:32:48
AICDA,migraine,2026-04-09 21:32:48
AIF1,migraine,2026-04-09 21:32:48
AIFM1,migraine,2026-04-09 21:32:48
AIM2,migraine,2026-04-09 21:32:48
AIMP2,migraine,2026-04-09 21:32:48
AIP,migraine,2026-04-09 21:32:48
AJAP1,migraine,2026-04-09 21:32:48
AK4,migraine,2026-04-09 21:32:48
AKAP10,migraine,2026-04-09 21:32:48
AKAP2,migraine,2026-04-09 21:32:48
AKAP5,migraine,2026-04-09 21:32:48
AKAP7,migraine,2026-04-09 21:32:48
AKINESIA,migraine,2026-04-09 21:32:48
AKT1,migraine,2026-04-09 21:32:48
AKT2,migraine,2026-04-09 21:32:48
ALB,migraine,2026-04-09 21:32:48
ALDH18A1,migraine,2026-04-09 21:32:48
ALDH2,migraine,2026-04-09 21:32:48
ALDH5A1,migraine,2026-04-09 21:32:48
ALDH7A1,migraine,2026-04-09 21:32:48
ALDOA,migraine,2026-04-09 21:32:48
ALG1,migraine,2026-04-09 21:32:48
ALG13,migraine,2026-04-09 21:32:48
ALG1L13P,migraine,2026-04-09 21:32:48
ALMS1,migraine,2026-04-09 21:32:48
ALOX15,migraine,2026-04-09 21:32:48
ALPHA,migraine,2026-04-09 21:32:48
ALPHA-1,migraine,2026-04-09 21:32:48
ALPHA-1A,migraine,2026-04-09 21:32:48
ALPHA-2,migraine,2026-04-09 21:32:48
ALPHA-4,migraine,2026-04-09 21:32:48
ALPK1,migraine,2026-04-09 21:32:48
ALPP,migraine,2026-04-09 21:32:48
ALTERNATING,migraine,2026-04-09 21:32:48
AMACR,migraine,2026-04-09 21:32:48
AMACRD,migraine,2026-04-09 21:32:48
AMBRA1,migraine,2026-04-09 21:32:48
AMIGO1,migraine,2026-04-09 21:32:48
AMIGO3,migraine,2026-04-09 21:32:48
AMN,migraine,2026-04-09 21:32:48
AMT,migraine,2026-04-09 21:32:48
AMY1A,migraine,2026-04-09 21:32:48
AMY1B,migraine,2026-04-09 21:32:48
AMY1C,migraine,2026-04-09 21:32:48
AMY2A,migraine,2026-04-09 21:32:48
AMY2B,migraine,2026-04-09 21:32:48
AMYLD1,migraine,2026-04-09 21:32:48
AMYLOID,migraine,2026-04-09 21:32:48
AMYLOIDOSIS,migraine,2026-04-09 21:32:48
AMZ1,migraine,2026-04-09 21:32:48
AMZ2P1,migraine,2026-04-09 21:32:48
ANAPC13,migraine,2026-04-09 21:32:48
ANAPC16,migraine,2026-04-09 21:32:48
ANG,migraine,2026-04-09 21:32:48
ANGIOMATOSIS,migraine,2026-04-09 21:32:48
ANGIOPATHY,migraine,2026-04-09 21:32:48
ANGIOTENSIN,migraine,2026-04-09 21:32:48
ANGPT1,migraine,2026-04-09 21:32:48
ANGPT2,migraine,2026-04-09 21:32:48
ANGPTL1,migraine,2026-04-09 21:32:48
ANGPTL3,migraine,2026-04-09 21:32:48
ANHIDROSIS,migraine,2026-04-09 21:32:48
ANISOCORIA,migraine,2026-04-09 21:32:48
ANK1,migraine,2026-04-09 21:32:48
ANK2,migraine,2026-04-09 21:32:48
ANK3,migraine,2026-04-09 21:32:48
ANKDD1B,migraine,2026-04-09 21:32:48
ANKDD1B.,migraine,2026-04-09 21:32:48
ANKFY1,migraine,2026-04-09 21:32:48
ANKK1,migraine,2026-04-09 21:32:48
ANKRD11,migraine,2026-04-09 21:32:48
ANKRD18CP,migraine,2026-04-09 21:32:48
ANKRD18EP,migraine,2026-04-09 21:32:48
ANKRD20A4,migraine,2026-04-09 21:32:48
ANKRD20A7P,migraine,2026-04-09 21:32:48
ANKRD36B,migraine,2026-04-09 21:32:48
ANKRD36C,migraine,2026-04-09 21:32:48
ANKRD39P1,migraine,2026-04-09 21:32:48
ANKRD42-DT,migraine,2026-04-09 21:32:48
ANO1,migraine,2026-04-09 21:32:48
ANO3,migraine,2026-04-09 21:32:48
ANO5,migraine,2026-04-09 21:32:48
ANOMALIES,migraine,2026-04-09 21:32:48
ANP32B,migraine,2026-04-09 21:32:48
ANXA1,migraine,2026-04-09 21:32:48
ANXA10,migraine,2026-04-09 21:32:48
ANXA3,migraine,2026-04-09 21:32:48
AOC1,migraine,2026-04-09 21:32:48
AOPEP,migraine,2026-04-09 21:32:48
AP-2,migraine,2026-04-09 21:32:48
AP000350.5,migraine,2026-04-09 21:32:48
AP000350.6,migraine,2026-04-09 21:32:48
AP000351.4,migraine,2026-04-09 21:32:48
AP000648.5,migraine,2026-04-09 21:32:48
AP003068.23,migraine,2026-04-09 21:32:48
AP006621.5,migraine,2026-04-09 21:32:48
AP2M1,migraine,2026-04-09 21:32:48
AP3B2,migraine,2026-04-09 21:32:48
AP3S2,migraine,2026-04-09 21:32:48
AP4E1,migraine,2026-04-09 21:32:48
APC,migraine,2026-04-09 21:32:48
APEH,migraine,2026-04-09 21:32:48
APEX1,migraine,2026-04-09 21:32:48
API,migraine,2026-04-09 21:32:48
API5,migraine,2026-04-09 21:32:48
APIP,migraine,2026-04-09 21:32:48
APLF,migraine,2026-04-09 21:32:48
APOA1,migraine,2026-04-09 21:32:48
APOA1BP,migraine,2026-04-09 21:32:48
APOB,migraine,2026-04-09 21:32:48
APOBEC3B,migraine,2026-04-09 21:32:48
APOC3,migraine,2026-04-09 21:32:48
APOE,migraine,2026-04-09 21:32:48
APOH,migraine,2026-04-09 21:32:48
APP,migraine,2026-04-09 21:32:48
APTX,migraine,2026-04-09 21:32:48
AQP1,migraine,2026-04-09 21:32:48
AQP2,migraine,2026-04-09 21:32:48
AQP4,migraine,2026-04-09 21:32:48
AR,migraine,2026-04-09 21:32:48
ARC,migraine,2026-04-09 21:32:48
ARF2P,migraine,2026-04-09 21:32:48
ARHGAP1,migraine,2026-04-09 21:32:48
ARHGAP15,migraine,2026-04-09 21:32:48
ARHGAP25,migraine,2026-04-09 21:32:48
ARHGAP28,migraine,2026-04-09 21:32:48
ARHGAP29,migraine,2026-04-09 21:32:48
ARHGAP36,migraine,2026-04-09 21:32:48
ARHGAP4,migraine,2026-04-09 21:32:48
ARHGDIB,migraine,2026-04-09 21:32:48
ARHGDIG,migraine,2026-04-09 21:32:48
ARHGEF12,migraine,2026-04-09 21:32:48
ARHGEF15,migraine,2026-04-09 21:32:48
ARHGEF16,migraine,2026-04-09 21:32:48
ARHGEF19,migraine,2026-04-09 21:32:48
ARHGEF2,migraine,2026-04-09 21:32:48
ARHGEF39,migraine,2026-04-09 21:32:48
ARHGEF9,migraine,2026-04-09 21:32:48
ARID3A,migraine,2026-04-09 21:32:48
ARID3A.,migraine,2026-04-09 21:32:48
ARID4A,migraine,2026-04-09 21:32:48
ARIH2,migraine,2026-04-09 21:32:48
ARIH2OS,migraine,2026-04-09 21:32:48
ARK2N,migraine,2026-04-09 21:32:48
ARL14EP,migraine,2026-04-09 21:32:48
ARL14EP-DT,migraine,2026-04-09 21:32:48
ARL15,migraine,2026-04-09 21:32:48
ARL16,migraine,2026-04-09 21:32:48
ARL17A,migraine,2026-04-09 21:32:48
ARL2,migraine,2026-04-09 21:32:48
ARL2-SNX15,migraine,2026-04-09 21:32:48
ARL5AP2,migraine,2026-04-09 21:32:48
ARMC2,migraine,2026-04-09 21:32:48
ARMC2-AS1,migraine,2026-04-09 21:32:48
ARMH4,migraine,2026-04-09 21:32:48
ARMS2,migraine,2026-04-09 21:32:48
ARPIN,migraine,2026-04-09 21:32:48
ARRESTEN,migraine,2026-04-09 21:32:48
ARSA,migraine,2026-04-09 21:32:48
ART4,migraine,2026-04-09 21:32:48
ARTERIOPATHY,migraine,2026-04-09 21:32:48
ARTN,migraine,2026-04-09 21:32:48
ARV1,migraine,2026-04-09 21:32:48
ARX,migraine,2026-04-09 21:32:48
AS1,migraine,2026-04-09 21:32:48
AS3MT,migraine,2026-04-09 21:32:48
ASAH1,migraine,2026-04-09 21:32:48
ASAH2,migraine,2026-04-09 21:32:48
ASAP1,migraine,2026-04-09 21:32:48
ASAP1-IT2,migraine,2026-04-09 21:32:48
ASB15,migraine,2026-04-09 21:32:48
ASB16,migraine,2026-04-09 21:32:48
ASB8,migraine,2026-04-09 21:32:48
ASCC1,migraine,2026-04-09 21:32:48
ASCC2,migraine,2026-04-09 21:32:48
ASIC1,migraine,2026-04-09 21:32:48
ASIC2,migraine,2026-04-09 21:32:48
ASIC3,migraine,2026-04-09 21:32:48
ASLP1,migraine,2026-04-09 21:32:48
ASPA,migraine,2026-04-09 21:32:48
ASPG,migraine,2026-04-09 21:32:48
ASPHD1,migraine,2026-04-09 21:32:48
ASRGL1,migraine,2026-04-09 21:32:48
ASSOCIATED,migraine,2026-04-09 21:32:48
AST,migraine,2026-04-09 21:32:48
ASTL,migraine,2026-04-09 21:32:48
ASTN2,migraine,2026-04-09 21:32:48
ASTN2-AS1,migraine,2026-04-09 21:32:48
ASXL1,migraine,2026-04-09 21:32:48
ASXL3,migraine,2026-04-09 21:32:48
ATAD2B,migraine,2026-04-09 21:32:48
ATAXIA,migraine,2026-04-09 21:32:48
ATAXIC,migraine,2026-04-09 21:32:48
ATE1-AS1,migraine,2026-04-09 21:32:48
ATF5,migraine,2026-04-09 21:32:48
ATF7,migraine,2026-04-09 21:32:48
ATF7-AS1,migraine,2026-04-09 21:32:48
ATF7-NPFF,migraine,2026-04-09 21:32:48
ATF7IP,migraine,2026-04-09 21:32:48
ATG10,migraine,2026-04-09 21:32:48
ATG13,migraine,2026-04-09 21:32:48
ATG7,migraine,2026-04-09 21:32:48
ATIII,migraine,2026-04-09 21:32:48
ATL1,migraine,2026-04-09 21:32:48
ATM,migraine,2026-04-09 21:32:48
ATN1,migraine,2026-04-09 21:32:48
ATOH8,migraine,2026-04-09 21:32:48
ATP,migraine,2026-04-09 21:32:48
ATP10A,migraine,2026-04-09 21:32:48
ATP12A,migraine,2026-04-09 21:32:48
ATP1A1,migraine,2026-04-09 21:32:48
ATP1A2,migraine,2026-04-09 21:32:48
ATP1A3,migraine,2026-04-09 21:32:48
ATP1A4,migraine,2026-04-09 21:32:48
ATP1B1,migraine,2026-04-09 21:32:48
ATP23,migraine,2026-04-09 21:32:48
ATP2B1,migraine,2026-04-09 21:32:48
ATP2B1-AS1,migraine,2026-04-09 21:32:48
ATP2B2,migraine,2026-04-09 21:32:48
ATP2C2,migraine,2026-04-09 21:32:48
ATP4A,migraine,2026-04-09 21:32:48
ATP5F1A,migraine,2026-04-09 21:32:48
ATP5F1B,migraine,2026-04-09 21:32:48
ATP5MC2,migraine,2026-04-09 21:32:48
ATP5MFP2,migraine,2026-04-09 21:32:48
ATP5MK,migraine,2026-04-09 21:32:48
ATP5PDP3,migraine,2026-04-09 21:32:48
ATP6AP1L,migraine,2026-04-09 21:32:48
ATP6AP2,migraine,2026-04-09 21:32:48
ATP6V0A1,migraine,2026-04-09 21:32:48
ATP6V0A2,migraine,2026-04-09 21:32:48
ATP6V0B,migraine,2026-04-09 21:32:48
ATP6V1A,migraine,2026-04-09 21:32:48
ATP7A,migraine,2026-04-09 21:32:48
ATP7B,migraine,2026-04-09 21:32:48
ATP7BP1,migraine,2026-04-09 21:32:48
ATP8A2,migraine,2026-04-09 21:32:48
ATP9B,migraine,2026-04-09 21:32:48
ATR,migraine,2026-04-09 21:32:48
ATRIP,migraine,2026-04-09 21:32:48
ATRIP-TREX1,migraine,2026-04-09 21:32:48
ATRNL1,migraine,2026-04-09 21:32:48
ATROPHY,migraine,2026-04-09 21:32:48
ATRX,migraine,2026-04-09 21:32:48
ATTR,migraine,2026-04-09 21:32:48
ATTRV122I,migraine,2026-04-09 21:32:48
ATTRV30M,migraine,2026-04-09 21:32:48
ATXN1,migraine,2026-04-09 21:32:48
ATXN10,migraine,2026-04-09 21:32:48
ATXN2,migraine,2026-04-09 21:32:48
ATXN2L,migraine,2026-04-09 21:32:48
ATXN3,migraine,2026-04-09 21:32:48
ATXN7,migraine,2026-04-09 21:32:48
ATXN7L1,migraine,2026-04-09 21:32:48
ATXN8,migraine,2026-04-09 21:32:48
ATXN8OS,migraine,2026-04-09 21:32:48
AURA,migraine,2026-04-09 21:32:48
AUTOSOMAL,migraine,2026-04-09 21:32:48
AVIL,migraine,2026-04-09 21:32:48
AVP,migraine,2026-04-09 21:32:48
AVPR1B,migraine,2026-04-09 21:32:48
AXIN1,migraine,2026-04-09 21:32:48
AXL,migraine,2026-04-09 21:32:48
Akt,migraine,2026-04-09 21:32:48
Alcohol-dehydrogenase,migraine,2026-04-09 21:32:48
Aldh1a3,migraine,2026-04-09 21:32:48
Angiotensin-converting enzyme,migraine,2026-04-09 21:32:48
Angptl1,migraine,2026-04-09 21:32:48
ApoE,migraine,2026-04-09 21:32:48
ApoE4,migraine,2026-04-09 21:32:48
Apolipoprotein E,migraine,2026-04-09 21:32:48
Atp1a4,migraine,2026-04-09 21:32:48
B2M,migraine,2026-04-09 21:32:48
B3GALNT1,migraine,2026-04-09 21:32:48
B3GAT1,migraine,2026-04-09 21:32:48
B3GNT2,migraine,2026-04-09 21:32:48
B3GNT8,migraine,2026-04-09 21:32:48
B3GNT9,migraine,2026-04-09 21:32:48
B3GNTL1,migraine,2026-04-09 21:32:48
B4GALNT3,migraine,2026-04-09 21:32:48
B4GALT2,migraine,2026-04-09 21:32:48
B9D2,migraine,2026-04-09 21:32:48
BACE1,migraine,2026-04-09 21:32:48
BACE2,migraine,2026-04-09 21:32:48
BAIAP2,migraine,2026-04-09 21:32:48
BAIAP2L1,migraine,2026-04-09 21:32:48
BAK1,migraine,2026-04-09 21:32:48
BANCR,migraine,2026-04-09 21:32:48
BANF1P1,migraine,2026-04-09 21:32:48
BANF1P2,migraine,2026-04-09 21:32:48
BANF1P4,migraine,2026-04-09 21:32:48
BANF2,migraine,2026-04-09 21:32:48
BANP,migraine,2026-04-09 21:32:48
BASAL,migraine,2026-04-09 21:32:48
BASILAR,migraine,2026-04-09 21:32:48
BATF,migraine,2026-04-09 21:32:48
BATF2,migraine,2026-04-09 21:32:48
BAX,migraine,2026-04-09 21:32:48
BAZ1B,migraine,2026-04-09 21:32:48
BAZ2B,migraine,2026-04-09 21:32:48
BBS1,migraine,2026-04-09 21:32:48
BBS2,migraine,2026-04-09 21:32:48
BBS4,migraine,2026-04-09 21:32:48
BCAM,migraine,2026-04-09 21:32:48
BCAR1,migraine,2026-04-09 21:32:48
BCAS2P1,migraine,2026-04-09 21:32:48
BCHE,migraine,2026-04-09 21:32:48
BCKDHA,migraine,2026-04-09 21:32:48
BCL2,migraine,2026-04-09 21:32:48
BCL7B,migraine,2026-04-09 21:32:48
BDH2,migraine,2026-04-09 21:32:48
BDNF,migraine,2026-04-09 21:32:48
BEAN1,migraine,2026-04-09 21:32:48
BEGAIN,migraine,2026-04-09 21:32:48
BEND3P1,migraine,2026-04-09 21:32:48
BENIGN,migraine,2026-04-09 21:32:48
BEST1,migraine,2026-04-09 21:32:48
BEST2,migraine,2026-04-09 21:32:48
BET1L,migraine,2026-04-09 21:32:48
BETA,migraine,2026-04-09 21:32:48
BETA-1,migraine,2026-04-09 21:32:48
BEX5,migraine,2026-04-09 21:32:48
BFAR,migraine,2026-04-09 21:32:48
BFIS1,migraine,2026-04-09 21:32:48
BFIS2,migraine,2026-04-09 21:32:48
BFIS4,migraine,2026-04-09 21:32:48
BFSP1,migraine,2026-04-09 21:32:48
BHLHE22,migraine,2026-04-09 21:32:48
BHLHE41,migraine,2026-04-09 21:32:48
BICC1,migraine,2026-04-09 21:32:48
BID,migraine,2026-04-09 21:32:48
BIOGENESIS,migraine,2026-04-09 21:32:48
BIRC2,migraine,2026-04-09 21:32:48
BIRC3,migraine,2026-04-09 21:32:48
BLM,migraine,2026-04-09 21:32:48
BLVRB,migraine,2026-04-09 21:32:48
BMAL1,migraine,2026-04-09 21:32:48
BMERB1,migraine,2026-04-09 21:32:48
BMF,migraine,2026-04-09 21:32:48
BMP2,migraine,2026-04-09 21:32:48
BMP3,migraine,2026-04-09 21:32:48
BMP8A,migraine,2026-04-09 21:32:48
BMPR1A,migraine,2026-04-09 21:32:48
BMS1,migraine,2026-04-09 21:32:48
BNIP1,migraine,2026-04-09 21:32:48
BOGAERT,migraine,2026-04-09 21:32:48
BOLA2B,migraine,2026-04-09 21:32:48
BORCS7,migraine,2026-04-09 21:32:48
BORCS7-ASMT,migraine,2026-04-09 21:32:48
BPGM,migraine,2026-04-09 21:32:48
BPIFC,migraine,2026-04-09 21:32:48
BRAIN,migraine,2026-04-09 21:32:48
BRCA2,migraine,2026-04-09 21:32:48
BRD2,migraine,2026-04-09 21:32:48
BRD3,migraine,2026-04-09 21:32:48
BRD4,migraine,2026-04-09 21:32:48
BRD7P4,migraine,2026-04-09 21:32:48
BRI3,migraine,2026-04-09 21:32:48
BRINP1,migraine,2026-04-09 21:32:48
BRIX1,migraine,2026-04-09 21:32:48
BRME1,migraine,2026-04-09 21:32:48
BRPF3,migraine,2026-04-09 21:32:48
BRS3,migraine,2026-04-09 21:32:48
BRSK2,migraine,2026-04-09 21:32:48
BRV,migraine,2026-04-09 21:32:48
BRV1,migraine,2026-04-09 21:32:48
BRV2,migraine,2026-04-09 21:32:48
BRWD3,migraine,2026-04-09 21:32:48
BSN,migraine,2026-04-09 21:32:48
BSVD1,migraine,2026-04-09 21:32:48
BSVD6,migraine,2026-04-09 21:32:48
BTBD10P2,migraine,2026-04-09 21:32:48
BTBD16,migraine,2026-04-09 21:32:48
BTBD9,migraine,2026-04-09 21:32:48
BTG3,migraine,2026-04-09 21:32:48
BTN2A2,migraine,2026-04-09 21:32:48
BTN3A1,migraine,2026-04-09 21:32:48
BTN3A2,migraine,2026-04-09 21:32:48
BTNL3,migraine,2026-04-09 21:32:48
BTNL8,migraine,2026-04-09 21:32:48
BUB3,migraine,2026-04-09 21:32:48
BUD23,migraine,2026-04-09 21:32:48
C-C motif chemokine 25,migraine,2026-04-09 21:32:48
C-TERMINAL,migraine,2026-04-09 21:32:48
C-X-C motif chemokine 11,migraine,2026-04-09 21:32:48
C-reactive protein,migraine,2026-04-09 21:32:48
C10orf107,migraine,2026-04-09 21:32:48
C10orf88,migraine,2026-04-09 21:32:48
C10orf88B,migraine,2026-04-09 21:32:48
C11orf98P2,migraine,2026-04-09 21:32:48
C12orf76,migraine,2026-04-09 21:32:48
C16orf86,migraine,2026-04-09 21:32:48
C16orf96,migraine,2026-04-09 21:32:48
C17orf51,migraine,2026-04-09 21:32:48
C17orf97,migraine,2026-04-09 21:32:48
C1DP5,migraine,2026-04-09 21:32:48
C1GALT1,migraine,2026-04-09 21:32:48
